accuracy_train,loss_train,accuracy_val,loss_val
0.18389333333333333,2.2374873374557493,0.20702,2.1442160812282562
0.32088,1.7914965759277344,0.33114,1.8080354368972777
0.3993333333333333,1.6091453279368082,0.41424,1.5680619669246674
0.4603466666666667,1.4709258492660522,0.46338,1.4612986758327484
0.5031733333333334,1.3647886003875733,0.51368,1.34275312789917
0.5524533333333334,1.2530668573506674,0.56072,1.2254107433319092
0.58784,1.1596339721298219,0.59678,1.1319592977142334
0.6146666666666667,1.0938260052744548,0.62382,1.0641688896560668
0.6333333333333333,1.0553964262453714,0.64088,1.0284957489538193
0.6517066666666667,0.994534494043986,0.66372,0.9602503059029579
0.66576,0.9546071924463908,0.67646,0.9237539644384384
0.68544,0.9119422186787923,0.68914,0.8987677284431458
0.6941066666666666,0.8858783811060588,0.70076,0.8640307273769379
0.7057866666666667,0.8545011197916667,0.70986,0.8395179906654358
0.7117066666666667,0.8346947156588237,0.7192,0.8131062456274033
0.7246133333333333,0.7994046228663126,0.7303,0.7823337537956238
0.73448,0.7711885125954946,0.73496,0.7720720998358727
0.7403733333333333,0.7593465004984538,0.7433,0.7515046681809425
0.7437866666666667,0.7577702998606364,0.74048,0.8341672118234634
0.7480266666666666,0.7334930445416769,0.74962,0.730741047346592
0.7602133333333333,0.7126187421544393,0.76342,0.7029218597054482
0.7612266666666667,0.6967416247049968,0.76116,0.7001290245914459
0.766,0.6794855216725667,0.76874,0.6812730350327492
0.77264,0.6704507746315003,0.77098,0.6775209624004364
0.77096,0.6794858694966635,0.77494,0.6705250190210342
0.7828266666666667,0.6356104367764791,0.78346,0.6318251790094376
0.78392,0.6290840571975708,0.78372,0.6331597541046142
0.78944,0.6185851078414917,0.78472,0.6402986369609833
0.7832266666666666,0.639404149608612,0.78074,0.6555758478021622
0.8011466666666667,0.5919881876754761,0.79976,0.597332595462799
0.8005066666666667,0.5858270278994242,0.79652,0.6001615093672276
0.8010933333333333,0.5888845475069682,0.79804,0.6312550093674659
0.80424,0.5749666803359985,0.80228,0.5853767455488443
0.80624,0.568514622478485,0.80718,0.5710307342910766
0.8096,0.5583242682647706,0.80518,0.6192065845382213
0.8042133333333333,0.5852848492749532,0.80238,0.5891021977329254
0.8124533333333334,0.5462931879234314,0.8098,0.5577129985308648
0.8041333333333334,0.5742617529614766,0.80492,0.5729457185053826
0.82696,0.5183150724951426,0.82194,0.53319608720541
0.8240266666666667,0.5172838850339254,0.82196,0.5266970804166794
0.82312,0.5220041102409363,0.82192,0.5274993151545525
0.8288533333333333,0.5049399894777934,0.82396,0.525775904970169
0.8280266666666667,0.5080841329129537,0.82322,0.5330211851787567
0.8301333333333333,0.5012839940277736,0.82802,0.511320077611208
0.8303466666666667,0.5006304371738434,0.82586,0.5998052785468102
0.8325066666666666,0.48777556882222495,0.82832,0.5045851009988784
0.8355733333333333,0.4790131975110372,0.83392,0.4906350468492508
0.8385333333333334,0.4687734835688273,0.8328,0.5057647139263153
0.8370133333333334,0.48024099756240846,0.83202,0.49851193462610244
0.8330133333333334,0.49445848543485005,0.83042,0.5133472825026513
